Iterations	loss_lab	loss_unl	train_err	test_err
60,	0.0039,	0.0001,	0.0010,	0.8250
61,	0.0033,	0.0001,	0.0000,	0.8250
62,	0.0020,	0.0001,	0.0000,	0.8250
63,	0.0024,	0.0000,	0.0010,	0.8250
64,	0.0015,	0.0001,	0.0000,	0.8250
65,	0.0009,	0.0001,	0.0000,	0.8250
66,	0.0005,	0.0000,	0.0000,	0.8200
67,	0.0007,	0.0000,	0.0000,	0.8200
68,	0.0018,	0.0000,	0.0000,	0.8150
69,	0.0008,	0.0000,	0.0000,	0.8150
70,	0.0005,	0.0000,	0.0000,	0.8150
71,	0.0007,	0.0000,	0.0000,	0.8150
72,	0.0005,	0.0000,	0.0000,	0.8150
73,	0.0006,	0.0000,	0.0000,	0.8200
74,	0.0061,	0.0000,	0.0020,	0.8200
75,	0.0057,	0.0001,	0.0010,	0.8200
76,	0.0027,	0.0000,	0.0010,	0.8200
77,	0.0009,	0.0000,	0.0000,	0.8150
78,	0.0008,	0.0000,	0.0000,	0.8150
79,	0.0007,	0.0000,	0.0000,	0.8150
80,	0.0006,	0.0000,	0.0000,	0.8150
81,	0.0012,	0.0000,	0.0000,	0.8150
82,	0.0005,	0.0000,	0.0000,	0.8150
83,	0.0021,	0.0000,	0.0000,	0.8150
84,	0.0053,	0.0000,	0.0030,	0.8150
85,	4.1035,	0.0000,	0.1100,	0.8100
86,	5.6301,	0.0530,	0.8340,	0.8200
87,	2.1417,	0.0312,	0.8510,	0.8200
88,	2.1392,	0.0167,	0.8610,	0.8250
89,	2.1198,	0.0105,	0.8710,	0.8250
90,	2.1497,	0.0081,	0.8630,	0.8300
91,	2.0520,	0.0089,	0.8340,	0.8300
92,	2.0971,	0.0061,	0.8500,	0.8250
93,	2.0954,	0.0050,	0.8610,	0.8400
94,	2.0902,	0.0041,	0.8520,	0.8350
95,	2.0768,	0.0037,	0.8480,	0.8750
96,	2.1227,	0.0035,	0.8710,	0.8800
97,	2.1185,	0.0032,	0.8910,	0.8850
98,	2.0997,	0.0031,	0.8570,	0.9050
99,	2.0845,	0.0033,	0.8500,	0.9150
100,	2.0369,	0.0034,	0.8420,	0.9150
101,	2.0917,	0.0032,	0.8640,	0.9250
102,	2.0706,	0.0026,	0.8600,	0.9300
103,	2.0548,	0.0020,	0.8520,	0.9050
104,	2.0957,	0.0021,	0.8670,	0.9100
105,	2.0551,	0.0024,	0.8660,	0.9100
106,	2.0435,	0.0027,	0.8370,	0.9050
107,	2.0635,	0.0020,	0.8560,	0.9000
108,	2.0813,	0.0017,	0.8770,	0.9050
109,	2.0699,	0.0015,	0.8620,	0.9000
110,	2.0816,	0.0017,	0.8570,	0.8950
111,	2.0403,	0.0014,	0.8470,	0.8900
112,	2.0382,	0.0014,	0.8520,	0.8800
113,	2.0203,	0.0018,	0.8450,	0.8900
114,	2.0370,	0.0044,	0.8270,	0.8900
115,	2.0484,	0.0044,	0.8610,	0.8900
116,	2.0162,	0.0036,	0.8340,	0.8850
117,	1.9748,	0.0027,	0.8070,	0.8850
118,	1.9615,	0.0031,	0.8230,	0.8850
119,	1.9947,	0.0030,	0.8450,	0.8850
120,	1.8943,	0.0015,	0.7360,	0.8900
121,	2.1388,	0.0098,	0.8520,	0.8850
122,	2.0437,	0.0081,	0.8460,	0.8850
123,	2.0501,	0.0047,	0.8730,	0.8900
124,	2.0559,	0.0033,	0.8660,	0.8850
(most				
"train_AFEW_CASIA_featM.py",				
=				
"/usr/local/lib/python2.7/dist-packages/theano/compile/function_module.py",				
if				
				
 - DONE -
